,,,,,,Corsi (EV),,,,Fenwick (EV),,,,PDO (),,,Zone Starts (EV),,,,,,,,
388,Seth Jones,30,FLA,D,14,351,257,57.7,3.4,248,209,54.3,0.7,4.7,89.9,94.6,65,35,25:50:00,20:15,5,16,2.4,74,43.2
389,Zachary Jones,24,NYR,D,42,611,653,48.3,-2.1,454,484,48.4,-1,7,94,101,56,44,17:05,15:31,14,38,-5.9,102,41.2
390,Mathieu Joseph,27,STL,RW,56,551,565,49.4,0.7,371,378,49.5,0.5,7.7,88.6,96.3,39.3,60.7,11:59,10:58,16,24,4.6,131,51.1
391,Pierre-Olivier Joseph,25,TOT,D,47,616,609,50.3,2.9,432,451,48.9,2.1,6.4,86.9,93.3,50.4,49.6,15:16,14:16,20,53,-3.7,122,34.4
391,Pierre-Olivier Joseph,25,PIT,D,24,362,341,51.5,1.2,262,254,50.8,0.7,5.5,86,91.5,52.4,47.6,17:20,16:16,13,25,-2.2,75,26.7
391,Pierre-Olivier Joseph,25,STL,D,23,254,268,48.7,4.4,170,197,46.3,3,7.5,87.9,95.4,47.5,52.5,13:06,12:11,7,28,-1.6,47,46.8
392,Dakota Joshua,28,VAN,C,50,489,598,45,-4.6,343,410,45.6,-4,6.4,88.4,94.7,47.5,52.5,0.541666667,11:56,11,33,-0.5,92,44.6
393,Roman Josi,34,NSH,D,53,1291,1008,56.2,7.6,899,760,54.2,6.5,8.3,86.2,94.4,67.7,32.3,25:02:00,20:19,23,75,0.7,368,40.8
394,Tyson Jost,26,CAR,C,31,341,216,61.2,2.5,235,158,59.8,2.2,5.7,94.4,100.1,57.1,42.9,9:33,9:05,6,8,4,53,52.8
395,Noah Juulsen,27,VAN,D,35,376,502,42.8,-6.5,254,358,41.5,-7.8,8,88.3,96.3,33.2,66.8,16:17,13:55,12,40,-6.5,70,37.1
396,Nazem Kadri,34,CGY,C,75,1410,1264,52.7,2.1,970,912,51.5,1,7.1,90.3,97.4,62.1,37.9,19:20,16:20,28,54,0.9,500,51.4
397,Wyatt Kaiser,22,CHI,D,51,720,804,47.2,4.9,514,582,46.9,4.8,8.7,91,99.7,46.5,53.5,17:57,16:20,20,54,-4.9,119,51.3
398,Kaapo Kakko,23,TOT,RW,73,1019,1022,49.9,1.8,749,761,49.6,1.6,10.3,90,100.3,52.7,47.3,15:39,14:08,18,55,-2.6,221,49.3
398,Kaapo Kakko,23,SEA,RW,43,675,642,51.3,4,491,477,50.7,3.1,10.4,87.2,97.6,49.4,50.6,17:18,15:25,13,39,-2,137,46.7
398,Kaapo Kakko,23,NYR,RW,30,344,380,47.5,-1.6,258,284,47.6,-0.9,10.2,94.7,105,59.9,40.1,13:17,12:18,5,16,-0.6,84,53.6
399,Arthur Kaliyev,23,NYR,RW,14,139,144,49.1,-0.8,99,113,46.7,-4.3,10.4,93.1,103.5,58.9,41.1,11:13,10:54,0,4,-0.7,35,60
400,David Kämpf,30,TOR,C,59,486,578,45.7,-2.8,347,406,46.1,-3.1,8.7,91.3,100,24.1,75.9,12:24,10:19,17,30,-3.3,81,55.6
401,Patrick Kane,36,DET,RW,64,903,994,47.6,-0.7,651,718,47.6,-0.4,7.5,90.1,97.5,56.7,43.3,17:54,14:52,12,68,-3.7,297,52.2
